Date,IAG.AX,BHP.AX,BEN.AX,COL.AX,TLS.AX
2020-06-03,5.59,43.79,7.33,16.23,2.47
2020-06-04,5.6,43.66,7.46,16.44,2.49
2020-06-05,5.54,42.92,7.38,16.45,2.47
2020-06-08,5.58,45.62,7.51,16.63,2.5
2020-06-09,5.53,42.83,7.35,16.05,2.54
2020-06-10,5.53,44.92,7.41,16.16,2.55
2020-06-11,5.23,44.37,7.32,16.15,2.61
2020-06-12,5.28,44.01,7.41,16.6,2.61
2020-06-15,5.31,43.57,7.33,16.59,2.56
2020-06-16,5.32,43.03,7.39,16.7,2.62
2020-06-17,5.25,42.54,7.24,16.48,2.63
2020-06-18,5.36,41.74,7.38,16.78,2.67
2020-06-19,5.61,41.55,7.39,16.13,2.79
2020-06-22,5.7,41.77,7.48,15.95,2.94
2020-06-23,5.72,41.98,7.57,16.15,2.95
2020-06-24,5.61,42.28,7.71,16.74,3.03
2020-06-25,5.54,40.92,7.65,16.7,3.11
2020-06-26,5.31,42.12,7.51,16.78,3.0
2020-06-29,5.09,42.52,7.39,16.69,2.92
2020-06-30,5.05,44.46,7.36,16.5,2.88
2020-07-01,5.02,40.95,7.3,16.32,2.99
2020-07-02,5.25,42.99,7.43,16.06,3.13
2020-07-03,5.26,43.06,7.44,16.1,3.11
2020-07-06,5.18,42.2,7.38,16.01,3.09
2020-07-07,5.2,41.97,7.55,15.77,3.23
2020-07-08,5.36,39.98,7.6,15.49,3.21
2020-07-09,5.26,38.46,7.71,15.89,3.32
2020-07-10,5.36,37.5,7.71,15.81,3.27
2020-07-13,5.45,37.51,7.72,15.83,3.29
2020-07-14,5.41,38.67,7.59,15.86,3.26
2020-07-15,5.37,38.95,7.43,15.86,3.2
2020-07-16,5.3,39.97,7.32,15.61,3.09
2020-07-17,5.38,38.75,7.55,15.43,3.29
2020-07-20,5.41,38.75,7.5,15.41,3.27
2020-07-21,5.56,39.29,7.61,15.33,3.28
2020-07-22,5.61,37.51,7.47,15.16,3.31
2020-07-23,5.58,37.5,7.5,15.14,3.27
2020-07-24,5.61,36.54,7.55,14.87,3.4
2020-07-27,5.68,37.0,7.7,15.27,3.45
2020-07-28,5.42,35.06,7.47,15.21,3.5
2020-07-29,5.32,35.04,7.33,15.05,3.39
2020-07-30,5.2,33.43,7.14,15.06,3.33
2020-07-31,5.54,34.72,7.37,14.86,3.4
2020-08-03,5.47,34.68,7.6,15.24,3.5
2020-08-04,5.37,34.46,7.73,15.43,3.66
2020-08-05,5.47,34.15,7.86,15.63,3.72
2020-08-06,5.26,32.98,7.69,15.63,3.77
2020-08-07,5.28,31.8,7.74,15.71,3.85
2020-08-10,5.42,32.9,7.89,15.77,3.72
2020-08-11,5.48,33.25,7.96,15.59,3.67
2020-08-12,5.63,33.55,8.13,15.65,3.69
2020-08-13,5.76,33.36,8.22,15.52,3.7
2020-08-14,5.72,33.51,8.14,15.69,3.59
2020-08-17,5.7,33.06,8.29,15.93,3.69
2020-08-18,5.49,32.9,8.27,16.17,3.76
2020-08-19,5.42,34.1,8.51,16.57,3.72
2020-08-20,5.62,36.11,8.6,16.43,3.66
2020-08-21,5.43,34.75,8.34,16.17,3.68
2020-08-24,5.46,36.4,8.26,16.26,3.58
2020-08-25,5.46,37.11,8.13,16.2,3.54
2020-08-26,5.53,37.61,8.47,16.46,3.55
2020-08-27,5.44,36.84,8.33,16.58,3.63
2020-08-28,5.37,35.8,8.33,16.55,3.71
2020-08-31,5.39,34.34,8.51,17.02,3.71
2020-09-01,5.34,34.53,8.52,17.24,3.83
2020-09-02,5.32,33.71,8.33,16.85,3.84
2020-09-03,5.56,33.78,8.52,16.77,3.96
2020-09-04,5.91,34.07,8.68,16.73,4.02
2020-09-07,6.19,35.23,8.82,16.72,4.08
2020-09-08,6.32,36.03,9.04,17.1,4.17
2020-09-09,6.42,36.1,9.12,17.31,4.09
2020-09-10,6.48,35.84,9.16,17.51,4.1
2020-09-11,6.49,34.49,9.25,17.68,4.31
2020-09-14,6.45,34.63,9.26,18.06,4.26
2020-09-15,6.49,35.35,9.32,18.04,4.27
2020-09-16,6.67,34.68,9.43,17.81,4.43
2020-09-17,6.42,33.68,9.32,18.23,4.4
2020-09-18,6.33,35.35,9.1,17.7,4.38
2020-09-21,6.25,34.19,9.13,17.84,4.38
2020-09-22,6.05,34.68,9.1,18.06,4.5
2020-09-23,5.89,32.86,8.89,17.9,4.56
2020-09-24,5.86,33.14,8.71,18.01,4.47
2020-09-25,6.03,33.83,8.88,18.17,4.5
2020-09-28,6.12,35.34,8.99,18.39,4.43
2020-09-29,6.35,35.14,9.35,18.58,4.39
2020-09-30,6.37,34.52,9.47,18.56,4.42
2020-10-01,6.07,33.52,8.94,17.9,4.46
2020-10-02,6.19,34.19,8.9,17.72,4.44
2020-10-05,6.01,35.33,8.92,17.98,4.39
2020-10-06,6.05,33.36,8.89,17.68,4.4
2020-10-07,6.01,35.02,8.97,17.81,4.4
2020-10-08,6.22,36.41,9.12,17.68,4.45
2020-10-09,6.28,37.5,9.26,18.03,4.37
2020-10-12,6.49,38.19,9.67,18.19,4.57
2020-10-13,6.52,37.58,9.62,18.01,4.63
2020-10-14,6.61,37.17,9.66,18.36,4.76
2020-10-15,6.68,37.38,9.73,18.49,4.65
2020-10-16,6.64,35.54,9.74,18.61,4.67
2020-10-19,6.91,34.83,9.68,18.24,4.79
2020-10-20,7.2,34.93,10.0,18.3,4.84
2020-10-21,7.36,35.88,9.88,18.32,4.87
2020-10-22,7.25,36.12,9.9,18.52,4.8
2020-10-23,7.13,35.9,9.99,18.88,4.77
2020-10-26,7.27,33.25,10.2,18.52,4.93
2020-10-27,7.07,31.71,10.23,18.62,5.05
2020-10-28,7.06,32.16,10.25,18.42,5.16
2020-10-29,6.98,30.61,10.11,18.58,5.25
2020-10-30,6.92,30.23,10.03,18.94,5.23
2020-11-02,6.99,31.26,10.12,18.98,5.19
2020-11-03,6.98,31.23,10.22,19.13,5.27
2020-11-04,6.97,31.31,9.92,18.97,5.23
2020-11-05,7.15,29.02,10.29,19.09,5.53
2020-11-06,6.96,29.28,10.03,18.88,5.68
2020-11-09,6.93,29.43,10.14,19.16,5.69
2020-11-10,7.0,31.58,10.21,19.33,5.68
2020-11-11,7.19,32.99,10.44,19.23,5.86
2020-11-12,6.99,32.96,10.2,19.17,5.85
2020-11-13,7.05,33.48,10.48,19.58,5.83
2020-11-16,7.22,34.94,10.43,19.5,5.81
2020-11-17,7.17,36.25,10.39,19.62,5.71
2020-11-18,7.17,35.14,10.16,19.62,5.58
2020-11-19,7.0,32.69,9.94,19.15,5.87
2020-11-20,7.18,32.37,10.36,19.67,5.91
2020-11-23,6.73,33.79,9.91,19.36,5.89
2020-11-24,7.14,35.9,10.27,19.54,5.94
2020-11-25,7.28,36.46,10.37,19.53,5.85
2020-11-26,7.23,34.63,10.3,19.22,5.84
2020-11-27,7.27,36.1,10.48,19.15,5.74
2020-11-30,7.44,35.42,10.54,19.11,5.67
2020-12-01,7.46,34.13,10.45,18.99,5.55
2020-12-02,7.54,34.27,10.58,19.12,5.7
2020-12-03,7.57,33.92,10.61,19.22,5.72
2020-12-04,7.58,33.27,10.51,18.77,5.96
2020-12-07,7.35,32.27,10.25,18.86,5.9
2020-12-08,7.58,32.03,10.42,18.64,6.22
2020-12-09,7.36,32.0,10.39,18.92,6.17
2020-12-10,7.33,32.03,10.36,19.11,6.39
2020-12-11,7.23,30.64,10.26,19.58,6.27
2020-12-14,7.53,32.59,10.39,19.61,6.35
2020-12-15,7.46,32.31,10.26,19.31,6.3
2020-12-16,7.24,32.01,10.01,19.3,6.06
2020-12-17,7.3,32.9,9.77,19.05,6.09
2020-12-18,7.08,34.14,9.73,19.16,6.02
2020-12-21,7.18,34.41,9.87,19.05,6.08
2020-12-22,6.93,33.89,9.59,18.82,6.21
2020-12-23,7.12,34.84,9.56,18.55,6.31
2020-12-24,7.15,37.23,9.66,18.79,6.15
2020-12-25,7.17,37.14,9.77,19.1,6.06
2020-12-28,6.94,34.77,9.68,18.94,5.95
